disease_name,severity,medications,safety_tips,precautions,risk_level
Chickenpox,High,Antimalarial; Insulin; Antibiotics; Bronchodilator,Take adequate rest; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Carry emergency kit; Consult doctor before travel; Follow medication schedule,High
Osteoporosis,High,Paracetamol; Antihistamine,Maintain hygiene; Avoid crowded places; Stay hydrated; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Follow medication schedule,High
Vitamin D Deficiency,Moderate,Bronchodilator; Antimalarial,Stay hydrated; Wear protective mask; Carry prescribed medicines; Avoid crowded places,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,Moderate
Leprosy,High,Insulin; Antibiotics; ORS; Bronchodilator,Stay hydrated; Monitor symptoms regularly; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Low
Osteoporosis,Low,Antibiotics; ORS; Antivirals; Antihistamine,Maintain hygiene; Wear protective mask; Take adequate rest; Monitor symptoms regularly,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,High
Motion Sickness,Low,Insulin; Steroids; Antihistamine; Paracetamol,Monitor symptoms regularly; Take adequate rest; Avoid extreme temperatures; Wear protective mask,Avoid allergens; Avoid heavy physical activity; Carry emergency kit,Low
Typhoid,Moderate,Antimalarial; ORS; Antihistamine,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,Moderate
Malaria,High,ORS; Steroids; Antimalarial; Ibuprofen,Avoid crowded places; Maintain hygiene; Stay hydrated; Monitor symptoms regularly,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,High
Gallstones,Moderate,Pain Reliever; Antimalarial; Antibiotics,Avoid extreme temperatures; Monitor symptoms regularly; Maintain hygiene; Stay hydrated,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,Critical
Flu,High,Paracetamol; Antibiotics; Bronchodilator; Antivirals,Take adequate rest; Carry prescribed medicines; Monitor symptoms regularly; Stay hydrated,Carry emergency kit; Avoid allergens; Consult doctor before travel,Low
Obesity,Low,Paracetamol; ORS; Antibiotics; Antimalarial,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Avoid crowded places,Consult doctor before travel; Avoid allergens; Follow medication schedule,High
Pancreatitis,High,Insulin; Antibiotics; Ibuprofen,Take adequate rest; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Follow medication schedule; Consult doctor before travel,Moderate
Multiple Sclerosis,High,Antihistamine; Bronchodilator,Avoid crowded places; Carry prescribed medicines; Maintain hygiene; Stay hydrated,Consult doctor before travel; Carry emergency kit; Follow medication schedule,Moderate
Bronchitis,Low,Antibiotics; Insulin; ORS,Wear protective mask; Take adequate rest; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,High
Kidney Disease,Low,Paracetamol; Antimalarial; Pain Reliever; ORS,Maintain hygiene; Avoid extreme temperatures; Carry prescribed medicines; Wear protective mask,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Critical
Pancreatitis,High,Paracetamol; Antibiotics; ORS,Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Follow medication schedule,Low
Varicose Veins,Low,Antibiotics; Ibuprofen; Steroids,Carry prescribed medicines; Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
HIV/AIDS,Moderate,Bronchodilator; Antimalarial; Steroids,Monitor symptoms regularly; Maintain hygiene; Carry prescribed medicines; Stay hydrated,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,Moderate
Ear Infection,Moderate,Paracetamol; Antihistamine,Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,Low
Chickenpox,High,Antibiotics; Bronchodilator; Insulin,Monitor symptoms regularly; Take adequate rest; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,Low
Sinusitis,Low,Antimalarial; Paracetamol,Avoid extreme temperatures; Maintain hygiene; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,High
Depression,High,Antimalarial; Antibiotics; ORS; Insulin,Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest; Wear protective mask,Use mosquito repellent; Avoid allergens; Carry emergency kit,High
Liver Disease,Low,Antihistamine; Bronchodilator,Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Follow medication schedule; Consult doctor before travel; Avoid allergens,Low
Leprosy,Low,Insulin; Bronchodilator; Steroids,Stay hydrated; Carry prescribed medicines; Avoid crowded places; Take adequate rest,Consult doctor before travel; Carry emergency kit; Use mosquito repellent,Critical
Gallstones,Low,Steroids; Pain Reliever,Avoid crowded places; Wear protective mask; Stay hydrated; Monitor symptoms regularly,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,High
Kidney Disease,Low,Insulin; Ibuprofen,Take adequate rest; Avoid extreme temperatures; Avoid crowded places; Stay hydrated,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Critical
Stroke,High,Antivirals; Steroids; Bronchodilator,Take adequate rest; Wear protective mask; Avoid extreme temperatures; Avoid crowded places,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,High
Food Poisoning,High,Antivirals; Antibiotics,Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated; Wear protective mask,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,High
Bronchial Infection,Moderate,Antimalarial; Antihistamine,Avoid crowded places; Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,High
Appendicitis,Moderate,ORS; Bronchodilator,Carry prescribed medicines; Avoid crowded places; Take adequate rest; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Low
Varicose Veins,Moderate,Steroids; ORS; Paracetamol; Pain Reliever,Avoid extreme temperatures; Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Follow medication schedule,Moderate
Ear Infection,Low,Paracetamol; ORS; Bronchodilator,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Take adequate rest,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Moderate
Malaria,High,Paracetamol; Antivirals; Ibuprofen,Avoid crowded places; Maintain hygiene; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
Pancreatitis,Moderate,Paracetamol; Bronchodilator; Ibuprofen,Carry prescribed medicines; Stay hydrated; Avoid crowded places; Take adequate rest,Consult doctor before travel; Follow medication schedule; Avoid allergens,Critical
Anemia,High,Antihistamine; Paracetamol; Insulin; Antivirals,Take adequate rest; Avoid crowded places; Monitor symptoms regularly; Stay hydrated,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Moderate
Fungal Infection,Moderate,Steroids; Antibiotics,Monitor symptoms regularly; Wear protective mask; Maintain hygiene; Avoid extreme temperatures,Carry emergency kit; Consult doctor before travel; Follow medication schedule,Low
Arthritis,Moderate,Antihistamine; Ibuprofen; Antibiotics; Insulin,Monitor symptoms regularly; Avoid extreme temperatures; Wear protective mask; Take adequate rest,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Astigmatism,Low,Steroids; ORS,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,High
Ear Infection,Low,Bronchodilator; Insulin; ORS,Maintain hygiene; Take adequate rest; Stay hydrated; Avoid crowded places,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,Critical
Bronchial Infection,Low,Bronchodilator; Insulin; Paracetamol; Antimalarial,Stay hydrated; Wear protective mask; Maintain hygiene; Carry prescribed medicines,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
Astigmatism,Moderate,Bronchodilator; Antihistamine; Antibiotics; Antimalarial,Wear protective mask; Carry prescribed medicines; Take adequate rest; Avoid crowded places,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Low
Meningitis,Moderate,Steroids; Paracetamol,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Wear protective mask,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Cholera,High,Insulin; Paracetamol; Antimalarial; Antibiotics,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Wear protective mask,Follow medication schedule; Avoid allergens; Carry emergency kit,Critical
Malaria,Moderate,ORS; Ibuprofen; Antibiotics; Steroids,Wear protective mask; Avoid crowded places; Maintain hygiene; Monitor symptoms regularly,Carry emergency kit; Avoid allergens; Use mosquito repellent,High
Back Pain,Moderate,Insulin; Antibiotics,Wear protective mask; Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Critical
HIV/AIDS,Low,Bronchodilator; Ibuprofen,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Avoid extreme temperatures,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Low
Scabies,High,Antivirals; Insulin,Wear protective mask; Carry prescribed medicines; Stay hydrated; Monitor symptoms regularly,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,Critical
Allergy,High,ORS; Paracetamol,Wear protective mask; Carry prescribed medicines; Maintain hygiene; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,High
Liver Disease,Moderate,Bronchodilator; Antivirals; Antibiotics,Monitor symptoms regularly; Avoid extreme temperatures; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Use mosquito repellent,Low
Depression,Low,Insulin; Pain Reliever; ORS; Antibiotics,Maintain hygiene; Wear protective mask; Take adequate rest; Avoid crowded places,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Critical
Bronchitis,High,Pain Reliever; Paracetamol,Carry prescribed medicines; Take adequate rest; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Moderate
Chickenpox,Moderate,Insulin; Pain Reliever,Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines; Wear protective mask,Follow medication schedule; Avoid allergens; Carry emergency kit,Moderate
Scabies,Low,Bronchodilator; Ibuprofen; Steroids,Carry prescribed medicines; Take adequate rest; Stay hydrated; Avoid crowded places,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Low
Pneumonia,Low,Antibiotics; Pain Reliever,Monitor symptoms regularly; Maintain hygiene; Take adequate rest; Carry prescribed medicines,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Low
Bronchitis,Moderate,ORS; Antimalarial,Maintain hygiene; Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines,Follow medication schedule; Avoid allergens; Consult doctor before travel,Critical
Dengue,Low,Antivirals; ORS; Paracetamol; Pain Reliever,Stay hydrated; Maintain hygiene; Wear protective mask; Avoid crowded places,Avoid allergens; Carry emergency kit; Follow medication schedule,High
Liver Disease,High,Insulin; Antibiotics; Steroids; Bronchodilator,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Maintain hygiene,Use mosquito repellent; Follow medication schedule; Avoid allergens,Low
Dehydration,Moderate,Pain Reliever; Steroids,Stay hydrated; Carry prescribed medicines; Wear protective mask; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,Moderate
Dengue,High,Antihistamine; Antimalarial; Paracetamol,Monitor symptoms regularly; Stay hydrated; Avoid crowded places; Avoid extreme temperatures,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Critical
Deep Vein Thrombosis,Moderate,ORS; Steroids; Antihistamine; Bronchodilator,Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures; Take adequate rest,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,Moderate
Altitude Sickness,Low,Paracetamol; Insulin,Carry prescribed medicines; Stay hydrated; Avoid crowded places; Maintain hygiene,Carry emergency kit; Follow medication schedule; Avoid allergens,Low
Cold,Moderate,Insulin; Steroids,Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures; Stay hydrated,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,Moderate
Stroke,Low,Pain Reliever; Bronchodilator; Steroids; Antihistamine,Stay hydrated; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Use mosquito repellent; Follow medication schedule; Carry emergency kit,Critical
Heart Disease,Low,ORS; Pain Reliever; Paracetamol; Ibuprofen,Wear protective mask; Take adequate rest; Maintain hygiene; Monitor symptoms regularly,Carry emergency kit; Consult doctor before travel; Follow medication schedule,Low
Cancer,High,Paracetamol; Bronchodilator,Avoid crowded places; Stay hydrated; Maintain hygiene; Avoid extreme temperatures,Use mosquito repellent; Avoid allergens; Carry emergency kit,High
Alzheimer's,Moderate,Insulin; ORS,Stay hydrated; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Follow medication schedule,Moderate
Asthma,Moderate,Steroids; Ibuprofen,Avoid crowded places; Carry prescribed medicines; Stay hydrated; Maintain hygiene,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,High
Depression,Low,Ibuprofen; Antimalarial; Antibiotics; Pain Reliever,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Critical
Obesity,High,Insulin; Steroids,Maintain hygiene; Take adequate rest; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,Moderate
Typhoid,Moderate,Antimalarial; Insulin; Antihistamine; Pain Reliever,Carry prescribed medicines; Wear protective mask; Avoid crowded places; Maintain hygiene,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Critical
Pancreatitis,High,Bronchodilator; ORS,Maintain hygiene; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Moderate
Malaria,Moderate,Antimalarial; Antibiotics; ORS; Paracetamol,Avoid crowded places; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Avoid allergens; Follow medication schedule,Critical
Bronchial Infection,Low,Antibiotics; ORS; Paracetamol; Antivirals,Wear protective mask; Stay hydrated; Carry prescribed medicines; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Critical
Bronchial Infection,Moderate,Steroids; Paracetamol,Wear protective mask; Maintain hygiene; Avoid crowded places; Take adequate rest,Avoid allergens; Use mosquito repellent; Follow medication schedule,Low
Pancreatitis,Low,Bronchodilator; ORS,Stay hydrated; Take adequate rest; Avoid crowded places; Carry prescribed medicines,Carry emergency kit; Avoid allergens; Consult doctor before travel,Low
IBS,Low,Ibuprofen; Steroids,Take adequate rest; Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Critical
Psoriasis,Low,Insulin; Antibiotics,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Moderate
Bronchial Infection,High,Paracetamol; Bronchodilator; Insulin,Maintain hygiene; Wear protective mask; Stay hydrated; Monitor symptoms regularly,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Low
Sleep Apnea,Low,Bronchodilator; Antihistamine,Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene; Wear protective mask,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Critical
Polio,High,Insulin; Bronchodilator,Maintain hygiene; Wear protective mask; Avoid crowded places; Take adequate rest,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,High
Scabies,High,Insulin; Antibiotics,Maintain hygiene; Carry prescribed medicines; Avoid crowded places; Take adequate rest,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,High
Heat Exhaustion,High,Pain Reliever; Antivirals; Antihistamine; Ibuprofen,Take adequate rest; Avoid extreme temperatures; Avoid crowded places; Wear protective mask,Use mosquito repellent; Carry emergency kit; Avoid allergens,High
Epilepsy,Low,Antibiotics; ORS; Antivirals,Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines; Take adequate rest,Carry emergency kit; Avoid heavy physical activity; Consult doctor before travel,Critical
Heart Disease,Moderate,Antimalarial; Paracetamol; ORS,Wear protective mask; Stay hydrated; Take adequate rest; Monitor symptoms regularly,Carry emergency kit; Avoid allergens; Follow medication schedule,Critical
Celiac Disease,High,Steroids; Bronchodilator,Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Avoid allergens; Carry emergency kit,Critical
Gastritis,Moderate,Antimalarial; Pain Reliever,Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures; Maintain hygiene,Avoid allergens; Follow medication schedule; Use mosquito repellent,Low
Osteoporosis,Moderate,Pain Reliever; Paracetamol; Antivirals; Antimalarial,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
Hepatitis,Moderate,Bronchodilator; Antivirals,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Wear protective mask,Follow medication schedule; Carry emergency kit; Consult doctor before travel,Moderate
Malaria,Moderate,Antihistamine; Pain Reliever; Antibiotics,Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly; Avoid crowded places,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,High
Cholera,Low,Insulin; Antibiotics,Maintain hygiene; Carry prescribed medicines; Take adequate rest; Stay hydrated,Avoid allergens; Follow medication schedule; Consult doctor before travel,Critical
Varicose Veins,Moderate,Paracetamol; Bronchodilator; Pain Reliever,Stay hydrated; Avoid extreme temperatures; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,Low
Dehydration,Low,Antibiotics; Pain Reliever; Bronchodilator,Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines; Monitor symptoms regularly,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Critical
Appendicitis,High,Bronchodilator; Insulin; Antivirals; Antimalarial,Maintain hygiene; Monitor symptoms regularly; Take adequate rest; Avoid crowded places,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,High
Ringworm,High,Paracetamol; Insulin; Antivirals,Avoid crowded places; Maintain hygiene; Take adequate rest; Avoid extreme temperatures,Use mosquito repellent; Consult doctor before travel; Avoid heavy physical activity,Moderate
Measles,High,Paracetamol; ORS; Antivirals; Antimalarial,Monitor symptoms regularly; Carry prescribed medicines; Avoid extreme temperatures; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Low
Insomnia,High,Antimalarial; Pain Reliever; Antihistamine,Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest; Stay hydrated,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Low
Measles,High,Antihistamine; Antivirals,Wear protective mask; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Consult doctor before travel; Follow medication schedule; Carry emergency kit,Critical
Dehydration,High,Antihistamine; Paracetamol,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Avoid extreme temperatures,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,Moderate
Food Poisoning,High,Steroids; ORS; Antibiotics,Maintain hygiene; Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,Critical
Heart Disease,High,Insulin; Steroids; Antimalarial,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Critical
Depression,Moderate,ORS; Pain Reliever; Ibuprofen,Maintain hygiene; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Low
Insomnia,Moderate,Insulin; Paracetamol; ORS,Avoid crowded places; Avoid extreme temperatures; Stay hydrated; Carry prescribed medicines,Consult doctor before travel; Follow medication schedule; Use mosquito repellent,High
Multiple Sclerosis,Low,Steroids; Antihistamine; Bronchodilator,Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,High
Ulcer,Low,Antimalarial; Bronchodilator; Antihistamine,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Low
Rabies,Moderate,Pain Reliever; Paracetamol; Antibiotics,Stay hydrated; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Avoid allergens,Critical
Measles,Moderate,Bronchodilator; ORS,Avoid extreme temperatures; Carry prescribed medicines; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Low
Gallstones,Low,Bronchodilator; Antivirals; Ibuprofen,Take adequate rest; Stay hydrated; Carry prescribed medicines; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Moderate
Typhoid,Moderate,Bronchodilator; Antivirals,Avoid extreme temperatures; Maintain hygiene; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,High
Dehydration,Low,Insulin; Antibiotics; ORS; Steroids,Wear protective mask; Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Critical
Hepatitis,Moderate,Paracetamol; Steroids,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Wear protective mask,Consult doctor before travel; Use mosquito repellent; Follow medication schedule,Critical
Kidney Disease,Moderate,Bronchodilator; Antivirals,Monitor symptoms regularly; Stay hydrated; Take adequate rest; Wear protective mask,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Low
Tuberculosis,High,Antivirals; Paracetamol; Bronchodilator; Steroids,Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly; Wear protective mask,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,High
Bronchitis,High,Antivirals; Paracetamol; Steroids; Antibiotics,Avoid crowded places; Stay hydrated; Maintain hygiene; Wear protective mask,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Low
Osteoporosis,High,Paracetamol; Antivirals; Ibuprofen; Antihistamine,Avoid crowded places; Wear protective mask; Take adequate rest; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Critical
Malaria,High,Insulin; ORS; Steroids; Antibiotics,Wear protective mask; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,Critical
Liver Disease,Low,Ibuprofen; Insulin,Take adequate rest; Maintain hygiene; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Critical
Stroke,High,Paracetamol; Antimalarial,Monitor symptoms regularly; Maintain hygiene; Stay hydrated; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Consult doctor before travel,Low
Parkinson's Disease,Moderate,Paracetamol; Pain Reliever,Take adequate rest; Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,Moderate
Pancreatitis,High,Bronchodilator; Steroids,Wear protective mask; Avoid extreme temperatures; Avoid crowded places; Stay hydrated,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,Moderate
Pancreatitis,Moderate,Antihistamine; Antimalarial; Paracetamol; Steroids,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Wear protective mask,Use mosquito repellent; Carry emergency kit; Avoid allergens,High
Chickenpox,Low,Pain Reliever; Antihistamine,Take adequate rest; Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Parkinson's Disease,High,Steroids; Antihistamine,Wear protective mask; Maintain hygiene; Carry prescribed medicines; Avoid crowded places,Use mosquito repellent; Follow medication schedule; Avoid allergens,High
Cholera,Low,Bronchodilator; Antivirals,Maintain hygiene; Take adequate rest; Avoid extreme temperatures; Monitor symptoms regularly,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Low
Food Poisoning,High,ORS; Pain Reliever,Carry prescribed medicines; Avoid crowded places; Wear protective mask; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
Arthritis,Moderate,Antivirals; Bronchodilator,Take adequate rest; Stay hydrated; Maintain hygiene; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Low
Cancer,Low,Paracetamol; Antibiotics,Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest; Avoid crowded places,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,High
Food Poisoning,High,ORS; Paracetamol; Antimalarial; Antivirals,Stay hydrated; Carry prescribed medicines; Maintain hygiene; Wear protective mask,Follow medication schedule; Consult doctor before travel; Avoid allergens,High
Eye Infection,High,Pain Reliever; Antimalarial,Monitor symptoms regularly; Take adequate rest; Stay hydrated; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,High
Ringworm,Moderate,Antihistamine; Antimalarial,Stay hydrated; Carry prescribed medicines; Avoid extreme temperatures; Monitor symptoms regularly,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,High
Pancreatitis,Low,Steroids; ORS,Wear protective mask; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Consult doctor before travel; Follow medication schedule; Carry emergency kit,High
Gastritis,Moderate,Antimalarial; Antihistamine,Avoid crowded places; Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Moderate
Epilepsy,High,Insulin; Antihistamine; Steroids,Maintain hygiene; Wear protective mask; Avoid crowded places; Take adequate rest,Follow medication schedule; Avoid allergens; Carry emergency kit,High
Bronchitis,High,Ibuprofen; Antivirals; Antihistamine,Wear protective mask; Carry prescribed medicines; Stay hydrated; Take adequate rest,Use mosquito repellent; Carry emergency kit; Avoid allergens,Moderate
Back Pain,Low,Ibuprofen; Antivirals; Steroids,Carry prescribed medicines; Wear protective mask; Stay hydrated; Avoid crowded places,Avoid allergens; Consult doctor before travel; Follow medication schedule,Moderate
Neck Pain,High,Pain Reliever; Antibiotics; Paracetamol,Monitor symptoms regularly; Avoid crowded places; Stay hydrated; Avoid extreme temperatures,Use mosquito repellent; Avoid allergens; Carry emergency kit,Moderate
COVID-19,Moderate,Insulin; Paracetamol; Antivirals; Antimalarial,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Stay hydrated,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Moderate
Celiac Disease,High,Bronchodilator; Antihistamine; Ibuprofen,Avoid crowded places; Avoid extreme temperatures; Carry prescribed medicines; Stay hydrated,Use mosquito repellent; Avoid allergens; Consult doctor before travel,Low
Heat Stroke,Moderate,Antivirals; Paracetamol; Bronchodilator; Antihistamine,Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,High
Sinusitis,High,Antimalarial; Insulin,Avoid crowded places; Monitor symptoms regularly; Take adequate rest; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,Moderate
Heat Exhaustion,Low,ORS; Pain Reliever,Carry prescribed medicines; Avoid extreme temperatures; Take adequate rest; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,High
